School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Charleston,26.28,14.54,40.82,2,24,1
College Preparatory,18.91,19.14,38.05,18,3,2
Rockhurst,21.48,16.36,37.84,11,10,3
Maplewood-Richmond Hts.,18.87,18.14,37.01,20,5,4
Christian Brothers College,24.67,12.33,37.0,3,46,5
Blue Springs South,21.14,15.33,36.47,12,19,6
Rock Bridge,22.02,14.41,36.43,9,25,7
Hickman,21.71,13.82,35.53,10,31,8
De Smet Jesuit,23.17,12.35,35.52,8,45,9
Sikeston,23.87,10.4,34.27,5,68,10
Nixa,19.76,12.8,32.56,13,42,11
Lee's Summit West,19.01,13.27,32.28,16,36,12
Duchesne,16.06,15.75,31.81,27,17,13
Hazelwood Central,16.06,15.15,31.21,26,21,14
Lafayette (St. Joseph),14.01,17.03,31.03,43,9,15
Hillcrest,14.77,15.27,30.05,39,20,16
Chaminade College Prep,15.91,13.7,29.61,29,34,17
Vianney,11.8,17.73,29.54,65,6,18
Ladue Horton Watkins,13.26,16.14,29.4,51,12,19
Center,15.61,11.83,27.43,31,52,20
Mexico,10.92,15.99,26.91,73,14,21
Republic,6.12,20.28,26.4,148,1,22
Liberty North,7.94,18.34,26.28,116,4,23
Central (New Madrid County),15.31,10.84,26.15,34,63,24
Normandy Collaborative,11.7,14.14,25.84,66,26,25
Lee's Summit North,8.18,17.17,25.34,109,7,26
Lafayette County,12.85,12.48,25.33,55,44,27
Park Hill South,8.15,17.12,25.27,111,8,28
Kennett,23.29,1.45,24.74,7,218,29
McCluer North,16.59,8.03,24.61,23,93,30
Liberty,11.23,13.03,24.26,72,39,31
Kickapoo,13.56,10.64,24.19,47,65,32
Riverview Gardens,23.68,0.31,23.99,6,247,33
Ft. Zumwalt South,11.41,12.55,23.96,71,43,34
Miller Career Academy,8.13,15.62,23.75,112,18,35
Hazelwood East,15.89,7.65,23.55,30,100,36
Blue Springs,19.22,3.87,23.09,14,161,37
St. Charles,13.74,9.34,23.08,45,76,38
John Burroughs,8.74,14.11,22.86,104,27,39
SLUH,8.1,14.63,22.72,113,23,40
Troy Buchanan,6.57,15.96,22.53,137,16,41
Marquette,6.27,16.17,22.44,145,11,42
Jackson,14.4,7.86,22.26,41,95,43
Drexel,13.54,8.51,22.05,48,89,44
Pattonville,10.39,11.61,22.01,81,56,45
Lafayette (Wildwood),5.64,16.11,21.75,160,13,46
Fatima,12.22,9.54,21.75,60,75,47
Washington,5.76,15.99,21.75,155,15,48
Lutheran North,11.42,10.3,21.72,70,70,49
Branson,15.09,6.6,21.69,38,116,50
St. Francis Borgia,7.5,14.07,21.57,122,28,51
Raytown South,15.45,6.08,21.53,33,127,52
Carnahan,12.87,8.59,21.46,54,85,53
Ft. Zumwalt North,18.88,2.52,21.4,19,189,54
Ruskin,13.23,7.93,21.17,52,94,55
Fort Osage,8.06,12.96,21.02,114,40,56
Central (Cape Girardeau),9.54,11.46,21.0,92,57,57
Rockwood Summit,11.67,9.08,20.75,67,79,58
West Platte,9.54,11.09,20.63,93,59,59
Cardinal Ritter,16.08,4.45,20.53,25,154,60
Notre Dame (Cape Girardeau),10.85,9.65,20.51,74,74,61
St. Pius X (Kansas City),9.99,10.44,20.43,87,66,62
Eureka,8.91,11.41,20.32,102,58,63
Sparta,9.48,10.41,19.89,96,67,64
Parkview,4.77,15.12,19.89,171,22,65
Poplar Bluff,17.85,1.94,19.79,21,200,66
Winnetonka,12.11,7.48,19.59,61,103,67
Jennings,19.06,0.46,19.52,15,239,68
Grandview,15.96,3.14,19.09,28,174,69
St. Charles West,6.85,12.2,19.05,134,48,70
Jefferson City,11.89,6.95,18.85,64,110,71
McCluer,10.18,8.64,18.82,84,83,72
Westminster Christian Academy,16.45,2.36,18.81,24,193,73
St. Dominic,-0.71,19.28,18.57,270,2,74
Hayti,7.27,11.04,18.31,129,60,75
Holcomb,4.16,13.71,17.87,183,33,76
Lee's Summit,13.95,3.81,17.77,44,162,77
Central (St. Joseph),10.01,7.72,17.73,86,99,78
Parkway Central,4.14,13.46,17.6,184,35,79
Kirkwood,10.71,6.73,17.44,76,112,80
Oran,15.51,1.71,17.22,32,208,81
Cuba,26.78,-9.79,16.99,1,436,82
Ozark,15.31,1.65,16.96,35,214,83
Northeast (Cairo),11.63,5.33,16.96,68,142,84
MICDS,3.51,13.18,16.69,193,37,85
