School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockhurst,21.48,16.36,37.84,6,4,1
Christian Brothers College,24.67,12.33,37.0,1,25,2
Blue Springs South,21.14,15.33,36.47,7,10,3
Rock Bridge,22.02,14.41,36.43,4,14,4
Hickman,21.71,13.82,35.53,5,15,5
De Smet Jesuit,23.17,12.35,35.52,3,24,6
Nixa,19.76,12.8,32.56,8,22,7
Lee's Summit West,19.01,13.27,32.28,10,19,8
Hazelwood Central,16.06,15.15,31.21,14,11,9
Chaminade College Prep,15.91,13.7,29.61,15,17,10
Vianney,11.8,17.73,29.54,27,1,11
Ladue Horton Watkins,13.26,16.14,29.4,23,6,12
Lee's Summit North,8.18,17.17,25.34,39,2,13
Park Hill South,8.15,17.12,25.27,40,3,14
McCluer North,16.59,8.03,24.61,13,36,15
Liberty,11.23,13.03,24.26,30,20,16
Kickapoo,13.56,10.64,24.19,22,31,17
Riverview Gardens,23.68,0.31,23.99,2,68,18
Ft. Zumwalt South,11.41,12.55,23.96,29,23,19
Hazelwood East,15.89,7.65,23.55,16,40,20
Blue Springs,19.22,3.87,23.09,9,53,21
SLUH,8.1,14.63,22.72,41,13,22
Troy Buchanan,6.57,15.96,22.53,46,9,23
Marquette,6.27,16.17,22.44,50,5,24
Jackson,14.4,7.86,22.26,20,38,25
Pattonville,10.39,11.61,22.01,33,27,26
Lafayette (Wildwood),5.64,16.11,21.75,53,7,27
Washington,5.76,15.99,21.75,51,8,28
Branson,15.09,6.6,21.69,19,47,29
Ft. Zumwalt North,18.88,2.52,21.4,11,58,30
Ruskin,13.23,7.93,21.17,24,37,31
Fort Osage,8.06,12.96,21.02,42,21,32
Rockwood Summit,11.67,9.08,20.75,28,32,33
Eureka,8.91,11.41,20.32,38,28,34
Parkview,4.77,15.12,19.89,56,12,35
Poplar Bluff,17.85,1.94,19.79,12,61,36
Winnetonka,12.11,7.48,19.59,25,41,37
Jefferson City,11.89,6.95,18.85,26,44,38
McCluer,10.18,8.64,18.82,34,34,39
Lee's Summit,13.95,3.81,17.77,21,54,40
Central (St. Joseph),10.01,7.72,17.73,35,39,41
Parkway Central,4.14,13.46,17.6,58,18,42
Kirkwood,10.71,6.73,17.44,31,45,43
Ozark,15.31,1.65,16.96,17,62,44
Oakville,7.64,8.54,16.17,43,35,45
Parkway West,6.47,8.94,15.41,47,33,46
Webster Groves,3.47,11.65,15.12,62,26,47
Kearney,3.72,10.86,14.58,60,29,48
Parkway North,10.54,2.07,12.61,32,60,49
Raymore-Peculiar,-1.17,13.74,12.57,71,16,50
Waynesville,6.3,5.62,11.93,49,50,51
Parkway South,5.08,6.18,11.26,54,48,52
Park Hill,4.1,7.01,11.11,59,43,53
Timberland,8.91,1.4,10.31,37,64,54
Francis Howell Central,9.24,0.68,9.92,36,65,55
Ritenour,5.01,4.83,9.84,55,51,56
Holt,5.69,3.91,9.61,52,52,57
Oak Park,2.46,6.62,9.07,66,46,58
Hazelwood West,6.31,2.16,8.47,48,59,59
William Chrisman,15.14,-7.5,7.64,18,77,60
Raytown,-0.67,7.44,6.77,70,42,61
Ft. Zumwalt West,6.8,-0.5,6.3,45,72,62
Belton,2.63,2.54,5.18,65,57,63
Glendale,7.13,-2.6,4.53,44,74,64
Ft. Zumwalt East,4.21,0.07,4.28,57,70,65
Francis Howell,3.18,0.44,3.62,63,67,66
Francis Howell North,2.36,0.47,2.82,67,66,67
Joplin,-2.03,2.92,0.89,72,56,68
Camdenton,-2.39,3.04,0.65,73,55,69
Rolla,3.56,-2.97,0.59,61,75,70
North Kansas City,3.08,-2.6,0.49,64,73,71
Lindbergh,-12.45,10.77,-1.69,81,30,72
Mehlville,-7.8,5.84,-1.97,79,49,73
Seckman,-4.44,1.5,-2.93,76,63,74
Fox,-3.06,0.04,-3.01,74,71,75
Staley,0.14,-3.2,-3.07,68,76,76
Willard,-3.3,0.08,-3.23,75,69,77
Central (Springfield),-0.28,-9.92,-10.2,69,81,78
Northwest (Cedar Hill),-6.38,-7.7,-14.08,77,78,79
Lebanon,-6.53,-8.61,-15.15,78,79,80
Neosho,-12.44,-9.48,-21.92,80,80,81
