Date,Home Team,Home Score,Away Team,Away Score
2012-11-19,Clearwater,82,Arcadia Valley,65
2012-11-19,West County,79,Bismarck,64
2012-11-19,Marshall,66,Boonville,51
2012-11-19,Ellington,48,Central (Park Hills),100
2012-11-19,Linn,30,Eldon,41
2012-11-19,Clayton,81,Fox,51
2012-11-19,Calhoun,47,Hermitage,53
2012-11-19,Van Buren,72,Koshkonong,27
2012-11-19,Orrick,20,Lathrop,61
2012-11-19,Raytown,37,Lee's Summit North,53
2012-11-19,Stanberry,79,Lesterville,28
2012-11-19,Bevier,72,Madison,49
2012-11-19,Dadeville,70,Niangua,61
2012-11-19,Union Star,57,North Nodaway,46
2012-11-19,Pembroke Hill,45,O'Hara,64
2012-11-19,Lexington,34,Plattsburg,57
2012-11-19,West Platte,54,St. Mary's (Independence),44
2012-11-19,St. James,96,Westran,44
2012-11-19,Glendale,62,Waynesville,73
2012-11-20,Lakeland,68,Appleton City,34
2012-11-20,Ellington,32,Arcadia Valley,71
2012-11-20,Canton,77,Atlanta,58
2012-11-20,West County,77,Bismarck,64
2012-11-20,Palmyra,67,Bowling Green,57
2012-11-20,Tuscumbia,64,Bunceton,57
2012-11-20,Summersville,74,Campbell,59
2012-11-20,Meadow Heights,31,Chaffee,80
2012-11-20,Senath-Hornersville,41,Clark County,60
2012-11-20,Grandview (Hillsboro),49,Confluence Prep Academy Charter,60
2012-11-20,Ash Grove,57,Crane,74
2012-11-20,Warsaw,36,Dixon,91
2012-11-20,Wright City,44,Dora,57
2012-11-20,Trenton,65,East Buchanan,53
2012-11-20,South Nodaway,65,El Dorado Springs,23
2012-11-20,Crocker,34,Eugene,69
2012-11-20,Mt. Vernon,65,Fair Grove,57
2012-11-20,New Franklin,48,Fayette,62
2012-11-20,Tarkio,49,Festus,79
2012-11-20,Hurley,58,Fordland,73
2012-11-20,Chadwick,26,Forsyth,65
2012-11-20,Ft. Zumwalt South,68,Ft. Zumwalt West,51
2012-11-20,Brunswick,19,Glasgow,73
2012-11-20,Cleveland NJROTC,24,Hazelwood West,57
2012-11-20,Calhoun,44,Hermitage,57
2012-11-20,Rich Hill,56,Jasper,36
2012-11-20,Ballard,48,Kingsville,26
2012-11-20,Orrick,21,Lawson,66
2012-11-20,Lathrop,77,Lexington,71
2012-11-20,McAuley Catholic,54,Liberal,56
2012-11-20,Grundy County,41,Linn County,73
2012-11-20,Adrian,51,Lone Jack,35
2012-11-20,Union,60,Lutie,62
2012-11-20,Westran,56,Macks Creek,77
2012-11-20,Harrisburg,61,Macon,54
2012-11-20,Salem,50,Marceline,64
2012-11-20,Novinger,27,Meadville,60
2012-11-20,Hume,33,Miami (Amoret),51
2012-11-20,Hermann,47,Montgomery County,64
2012-11-20,North Pemiscot,54,Neelyville,76
2012-11-20,Tri-County,47,Newtown-Harris,82
2012-11-20,Humansville,64,Niangua,66
2012-11-20,Madison,39,Northeast (Cairo),93
2012-11-20,Albany,52,Northeast Nodaway,40
2012-11-20,Plato,73,Norwood,63
2012-11-20,Staley,31,Oak Grove,66
2012-11-20,Gilman City,27,Osborn,48
2012-11-20,Buffalo,59,Pleasant Hope,43
2012-11-20,Thayer,40,Polo,57
2012-11-20,Northwest (Hughesville),41,Prairie Home,50
2012-11-20,North Harrison,55,Princeton,68
2012-11-20,Iberia,71,Sarcoxie,41
2012-11-20,Gideon,65,Senath-Hornersville,66
2012-11-20,North Nodaway,37,Stover,58
2012-11-20,Lutheran St. Charles,57,St. Dominic,36
2012-11-20,Ridgeway,70,Stewartsville,30
2012-11-20,Winfield,55,Webb City,33
2012-11-20,Marquette,39,Troy Buchanan,48
2012-11-20,Center,74,University Academy Charter,53
2012-11-20,Mark Twain,49,Van-Far,54
2012-11-20,Clever,60,Verona,36
2012-11-20,Belton,27,Winnetonka,63
2012-11-21,Lesterville,28,Bismarck,65
2012-11-21,Clearwater,73,Central (Park Hills),66
2012-11-21,Knox County,56,Kirksville,57
2012-11-21,St. Clair,23,McCluer North,60
2012-11-21,West County,42,Stanberry,63
2012-11-21,St. Charles,43,St. Charles West,57
2012-11-21,Cardinal Ritter,63,Washington,76
2012-11-22,Arcadia Valley,61,Bismarck,77
2012-11-22,West County,56,Central (Park Hills),69
2012-11-22,Stanberry,54,Clearwater,51
2012-11-22,Washington,61,McCluer North,56
2012-11-22,Carnahan,60,St. Francis Borgia,61
2012-11-23,Bunker,32,Alton,96
2012-11-23,Van Buren,78,Clarkton,71
2012-11-23,Greenville,54,Couch,48
2012-11-23,Frontier School of Excellence Charter,17,Derrick Thomas Academy,65
2012-11-23,Winona,39,Doniphan,53
2012-11-23,Liberty (Mountain View),62,East Carter,67
2012-11-23,Puxico,67,Eminence,81
2012-11-23,Zalma,39,Gideon,59
2012-11-23,Washington,56,McCluer North,51
2012-11-23,Ellington,54,Meadow Heights,52
2012-11-23,Carnahan,59,Pacific,51
2012-11-23,Cardinal Ritter,69,St. Clair,60
2012-11-24,St. Clair,32,Alton,54
2012-11-24,Waynesville,57,Alton,74
2012-11-24,Clearwater,50,Cabool,66
2012-11-24,Carnahan,52,Cardinal Ritter,54
2012-11-24,East Carter,44,Clever,69
2012-11-24,Eminence,69,Doniphan,59
2012-11-24,Puxico,67,Eminence,81
2012-11-24,Lincoln College Prep,62,Hogan Prep Academy Charter,59
2012-11-24,Clarkton,70,Koshkonong,26
2012-11-24,Liberty (Mountain View),38,Logan-Rogersville,69
2012-11-24,St. Francis Borgia,44,McCluer North,61
2012-11-24,Wright City,62,Meadow Heights,61
2012-11-24,Ellington,54,Meadow Heights,52
2012-11-24,Westran,46,Newburg,72
2012-11-24,Salem,60,Northwest (Cedar Hill),46
2012-11-24,Crocker,59,Richland,54
2012-11-24,Willard,65,Rolla,45
2012-11-24,Pacific,55,St. Clair,48
2012-11-24,Smithville,38,Van Buren,48
2012-11-25,South Pemiscot,66,Missouri Military Academy,39
2012-11-26,Kelly,56,Advance,67
2012-11-26,Webster Groves,64,Affton,51
2012-11-26,Willow Springs,29,Alton,59
2012-11-26,Osceola,65,Appleton City,40
2012-11-26,Bevier,51,Atlanta,61
2012-11-26,Conway,63,Aurora,66
2012-11-26,St. Pius X (Kansas City),77,Barstow,75
2012-11-26,Bishop DuBourg,54,Bayless,46
2012-11-26,Scott County Central,71,Bell City,45
2012-11-26,Campbell,32,Bernie,77
2012-11-26,New Heights Christian,38,Billings,85
2012-11-26,Novinger,66,Brashear,28
2012-11-26,Norborne,75,Breckenridge,21
2012-11-26,Confluence Prep Academy Charter,38,Brentwood,69
2012-11-26,Linn County,73,Brunswick,43
2012-11-26,Warrensburg,81,Buffalo,38
2012-11-26,Macks Creek,66,Bunceton,33
2012-11-26,Marshfield,64,Camdenton,63
2012-11-26,Excelsior Springs,44,Cameron,47
2012-11-26,West Plains,23,Cardinal Ritter,76
2012-11-26,Monett,37,Carl Junction,89
2012-11-26,Seneca,51,Carthage,63
2012-11-26,North Pemiscot,67,Caruthersville,103
2012-11-26,Jamestown,35,Chamois,54
2012-11-26,Lafayette (St. Joseph),75,Chillicothe,26
2012-11-26,Summersville,69,Clarkton,39
2012-11-26,Ladue Horton Watkins,64,Clayton,45
2012-11-26,McAuley Catholic,47,Clever,82
2012-11-26,Hermitage,48,Dadeville,60
2012-11-26,Whitfield,54,De Smet Jesuit,62
2012-11-26,Stover,56,DeKalb,54
2012-11-26,Exeter,21,Diamond,58
2012-11-26,Lutie,32,Dora,62
2012-11-26,Miami (Amoret),19,Drexel,81
2012-11-26,Holcomb,69,East Prairie,34
2012-11-26,Troy Buchanan,49,Elsberry,53
2012-11-26,University City,61,Eureka,69
2012-11-26,Halfway,40,Fair Play,80
2012-11-26,Hazelwood Central,85,Farmington,55
2012-11-26,New Franklin,54,Fayette,44
